Time,Channel,OrigBytes,CompressedBytes,SentBytes
2021-06-07 06:59:01.781335,1022,302951,54378,54378
2021-06-07 06:59:01.781347,1061,26399,9727,9727
2021-06-07 06:59:01.781360,1012,1695491,273091,273091
2021-06-07 06:59:01.781372,1023,318675,57309,57309
2021-06-07 06:59:01.781384,5001,1980886,171054,171054
2021-06-07 06:59:01.781396,10,469839,73123,73123
2021-06-07 06:59:01.781409,1034,3790317,273219,273219
2021-06-07 06:59:01.781421,1033,3807893,278003,278003
2021-06-07 06:59:01.781434,1041,1416,4012,4012
2021-06-07 06:59:01.781446,3011,2301,4897,4897
2021-06-07 06:59:01.781458,3001,3186,5369,5369
2021-06-07 06:59:01.781473,2,1872,2562,2562
2021-06-07 06:59:01.781485,1051,2365003,538020,538020
2021-06-07 06:59:01.781497,1024,363187,63697,63697
2021-06-07 06:59:01.781510,4001,6380,19140,19140
2021-06-07 06:59:01.781522,1013,1660363,270093,270093
2021-06-07 06:59:01.781534,1,9454673,1715221,1715221
2021-06-07 06:59:01.781546,1032,3792543,276347,276347
2021-06-07 06:59:01.781559,1031,3807885,275765,275765
2021-06-07 06:59:01.781571,1021,291493,54645,54645
2021-06-07 06:59:01.781584,10001,1970715,190815,190815
2021-06-07 06:59:01.781607,0,0,0,5160535
2021-06-07 07:02:01.860765,1044,1704,4828,4828
2021-06-07 07:02:01.860779,1043,1704,4828,4828
2021-06-07 07:02:01.860792,1042,1704,4828,4828
2021-06-07 07:02:01.860805,1014,1959712,317383,317383
2021-06-07 07:02:01.860818,1011,2017726,324874,324874
2021-06-07 07:02:01.860831,1022,361113,65011,65011
2021-06-07 07:02:01.860845,1061,31548,11670,11670
2021-06-07 07:02:01.860858,1012,2020949,326050,326050
2021-06-07 07:02:01.860871,1023,379855,68382,68382
2021-06-07 07:02:01.860883,5001,2377042,202630,202630
2021-06-07 07:02:01.860896,10,563628,88860,88860
2021-06-07 07:02:01.860908,1034,4521770,325473,325473
2021-06-07 07:02:01.860921,1033,4542740,331325,331325
2021-06-07 07:02:01.860933,1041,1704,4828,4828
2021-06-07 07:02:01.860946,3011,2769,5893,5893
2021-06-07 07:02:01.860958,3001,3834,6458,6458
2021-06-07 07:02:01.860970,2,2232,3053,3053
2021-06-07 07:02:01.860985,1051,2854259,646905,646905
2021-06-07 07:02:01.860998,1024,432883,76078,76078
2021-06-07 07:02:01.861010,4001,7700,23100,23100
2021-06-07 07:02:01.861022,1013,1979076,322431,322431
2021-06-07 07:02:01.861034,1,11345820,2068550,2068550
2021-06-07 07:02:01.861047,1032,4524419,328781,328781
2021-06-07 07:02:01.861059,1031,4542744,329459,329459
2021-06-07 07:02:01.861072,1021,347444,65153,65153
2021-06-07 07:02:01.861084,10001,2319240,225150,225150
2021-06-07 07:02:01.861106,0,0,0,6181981
2021-06-07 07:05:01.938593,1044,1992,5644,5644
2021-06-07 07:05:01.938608,1043,1992,5644,5644
2021-06-07 07:05:01.938623,1042,1992,5644,5644
2021-06-07 07:05:01.938636,1014,2275305,368638,368638
2021-06-07 07:05:01.938648,1011,2342661,377377,377377
2021-06-07 07:05:01.938661,1022,419275,75602,75602
2021-06-07 07:05:01.938674,1061,36697,13613,13613
2021-06-07 07:05:01.938686,1012,2346405,378817,378817
2021-06-07 07:05:01.938699,1023,441035,79426,79426
2021-06-07 07:05:01.938711,5001,2773224,236076,236076
2021-06-07 07:05:01.938724,10,657391,103132,103132
2021-06-07 07:05:01.938737,1034,5253227,378019,378019
2021-06-07 07:05:01.938749,1033,5277577,383913,383913
2021-06-07 07:05:01.938764,1041,1992,5644,5644
2021-06-07 07:05:01.938776,3011,3237,6889,6889
2021-06-07 07:05:01.938789,3001,4482,7547,7547
2021-06-07 07:05:01.938801,2,2664,3643,3643
2021-06-07 07:05:01.938814,1051,3343383,748961,748961
2021-06-07 07:05:01.938827,1024,502577,88354,88354
2021-06-07 07:05:01.938840,4001,9020,27060,27060
2021-06-07 07:05:01.938852,1013,2297783,374331,374331
2021-06-07 07:05:01.938865,1,13236911,2418154,2418154
2021-06-07 07:05:01.938877,1032,5256301,381554,381554
2021-06-07 07:05:01.938890,1031,5277625,384495,384495
2021-06-07 07:05:01.938906,1021,403397,75757,75757
2021-06-07 07:05:01.938918,10001,2667765,259485,259485
2021-06-07 07:05:01.938939,0,0,0,7193419
2021-06-07 07:08:02.019584,1044,2280,6460,6460
2021-06-07 07:08:02.019598,1043,2280,6460,6460
2021-06-07 07:08:02.019611,1042,2280,6460,6460
2021-06-07 07:08:02.019624,1014,2590898,419971,419971
2021-06-07 07:08:02.019636,1011,2667596,429891,429891
2021-06-07 07:08:02.019648,1022,477437,86210,86210
2021-06-07 07:08:02.019661,1061,41848,15660,15660
2021-06-07 07:08:02.019673,1012,2671859,431546,431546
2021-06-07 07:08:02.019688,1023,502221,90809,90809
2021-06-07 07:08:02.019701,5001,3169406,269603,269603
2021-06-07 07:08:02.019714,10,751154,117393,117393
2021-06-07 07:08:02.019726,1034,5984680,430342,430342
2021-06-07 07:08:02.019739,1033,6012416,436756,436756
2021-06-07 07:08:02.019751,1041,2280,6460,6460
2021-06-07 07:08:02.019763,3011,3705,7885,7885
2021-06-07 07:08:02.019776,3001,5130,8632,8632
2021-06-07 07:08:02.019788,2,3024,4135,4135
2021-06-07 07:08:02.019801,1051,3832525,851897,851897
2021-06-07 07:08:02.019814,1024,572273,100771,100771
2021-06-07 07:08:02.019828,4001,10340,31020,31020
2021-06-07 07:08:02.019841,1013,2616492,426194,426194
2021-06-07 07:08:02.019853,1,15128348,2784300,2784300
2021-06-07 07:08:02.019865,1032,5988171,433741,433741
2021-06-07 07:08:02.019877,1031,6012466,437122,437122
2021-06-07 07:08:02.019889,1021,459352,86546,86546
2021-06-07 07:08:02.019902,10001,3016290,293820,293820
2021-06-07 07:08:02.019923,0,0,0,8220084
2021-06-07 07:11:02.098958,1044,2568,7276,7276
2021-06-07 07:11:02.098974,1043,2568,7276,7276
2021-06-07 07:11:02.098987,1042,2568,7276,7276
2021-06-07 07:11:02.099000,1014,2906493,471432,471432
2021-06-07 07:11:02.099013,1011,2992531,482442,482442
2021-06-07 07:11:02.099026,1022,535603,97029,97029
2021-06-07 07:11:02.099039,1061,46999,17722,17722
2021-06-07 07:11:02.099052,1012,2997313,484240,484240
2021-06-07 07:11:02.099064,1023,563403,101980,101980
2021-06-07 07:11:02.099079,5001,3565574,302093,302093
2021-06-07 07:11:02.099093,10,844947,133297,133297
2021-06-07 07:11:02.099106,1034,6716145,483272,483272
2021-06-07 07:11:02.099119,1033,6747261,489945,489945
2021-06-07 07:11:02.099131,1041,2568,7276,7276
2021-06-07 07:11:02.099143,3011,4173,8881,8881
2021-06-07 07:11:02.099156,3001,5778,9721,9721
2021-06-07 07:11:02.099169,2,3456,4723,4723
2021-06-07 07:11:02.099186,1051,4321897,966625,966625
2021-06-07 07:11:02.099198,1024,641971,113261,113261
2021-06-07 07:11:02.099211,4001,11660,34980,34980
2021-06-07 07:11:02.099223,1013,2935201,478091,478091
2021-06-07 07:11:02.099238,1,17019589,3142610,3142610
2021-06-07 07:11:02.099250,1032,6720067,487387,487387
2021-06-07 07:11:02.099263,1031,6747309,489805,489805
